Week,Day,Date,time,boxscore,Win/Loss,OT,Rec,away,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,W,,1-0,,Arizona Cardinals,34,28,23,352,222,130,1,18,270,146,124,1,13.51,-3.22,-2.25
2,Thu,September 12,8:15PM ET,boxscore,W,,2-0,@,Miami Dolphins,31,10,13,247,139,108,,20,351,212,139,3,8.59,14.11,-2.53
3,Mon,September 23,7:30PM ET,boxscore,W,,3-0,,Jacksonville Jaguars,47,10,25,388,266,122,,19,239,147,92,2,28.39,12.44,-6.15
4,Sun,September 29,8:20PM ET,boxscore,L,,3-1,@,Baltimore Ravens,10,35,12,236,155,81,1,22,427,156,271,1,-6.92,-19.69,2.37
5,Sun,October 6,1:00PM ET,boxscore,L,,3-2,@,Houston Texans,20,23,16,276,126,150,,18,425,331,94,2,-1.59,0.68,-2.09
6,Mon,October 14,8:15PM ET,boxscore,W,,4-2,@,New York Jets,23,20,24,359,210,149,,20,393,272,121,1,14.90,-13.81,0.34
7,Sun,October 20,1:00PM ET,boxscore,W,,5-2,,Tennessee Titans,34,10,18,389,315,74,,18,289,200,89,2,15.86,12.71,-4.40
8,Sun,October 27,4:05PM ET,boxscore,W,,6-2,@,Seattle Seahawks,31,10,29,445,281,164,1,17,233,201,32,2,16.41,8.68,-2.10
9,Sun,November 3,1:00PM ET,boxscore,W,,7-2,,Miami Dolphins,30,27,24,325,231,94,1,26,373,224,149,1,13.82,-15.80,6.12
10,Sun,November 10,1:00PM ET,boxscore,W,,8-2,@,Indianapolis Colts,30,20,21,415,280,135,2,19,361,240,121,4,4.88,6.55,-1.17
11,Sun,November 17,4:25PM ET,boxscore,W,,9-2,,Kansas City Chiefs,30,21,24,366,262,104,1,19,259,181,78,2,14.81,-6.03,-0.41
